edit_decision_id	article_id	round	editor_id	decision	date_decided
503	320	1	77	2	2012-10-09 20:53:58
504	385	1	10	4	2012-10-10 18:45:18
505	372	1	10	4	2012-10-11 03:33:54
506	387	1	10	4	2012-10-11 03:45:17
507	329	1	10	3	2012-10-11 04:00:49
508	389	1	10	4	2012-10-11 04:50:23
509	297	1	10	2	2012-10-21 22:10:31
510	335	1	10	1	2012-10-24 23:23:20
511	310	1	2	1	2012-10-25 07:27:54
512	398	1	2	1	2012-10-26 04:59:37
513	398	1	2	1	2012-10-26 05:00:10
514	311	1	10	1	2012-10-27 20:01:03
515	263	1	77	1	2012-10-28 08:23:17
516	313	1	10	1	2012-10-29 22:22:30
517	289	1	600	1	2012-10-30 12:27:35
518	288	1	600	2	2012-10-30 12:45:08
519	247	2	77	1	2012-10-31 08:29:10
520	402	1	6	1	2012-11-01 18:48:32
521	404	1	10	4	2012-11-05 19:23:20
522	401	1	10	4	2012-11-05 19:26:40
523	396	1	10	4	2012-11-05 19:46:04
524	214	1	77	3	2012-11-06 21:50:03
525	394	1	10	4	2012-11-14 14:49:36
526	395	1	10	4	2012-11-14 15:12:40
527	288	1	600	1	2012-11-19 11:28:07
528	357	1	10	2	2012-11-26 22:01:23
529	399	1	10	4	2012-11-27 20:22:10
530	405	1	10	4	2012-11-28 16:55:37
531	407	1	10	4	2012-11-28 21:18:22
532	299	1	10	1	2012-11-30 19:08:03
533	400	1	10	4	2012-12-05 18:04:12
534	410	1	10	4	2012-12-08 14:50:36
535	414	1	10	4	2012-12-08 15:02:01
536	412	1	10	4	2012-12-09 18:03:23
537	390	1	10	1	2012-12-13 22:08:13
538	413	1	10	4	2012-12-13 22:13:19
539	417	1	10	4	2012-12-13 22:29:00
540	422	1	10	4	2012-12-16 15:00:54
541	357	1	10	1	2013-01-05 15:09:54
542	427	1	10	4	2013-01-08 17:15:18
543	429	1	77	4	2013-01-12 11:17:11
544	226	1	77	2	2013-01-14 22:40:27
545	377	1	10	2	2013-01-15 18:01:06
546	229	1	77	2	2013-01-16 09:12:05
547	346	1	10	2	2013-01-18 15:27:09
548	336	1	10	4	2013-01-20 22:55:45
549	424	1	10	4	2013-01-22 18:47:52
550	434	1	10	4	2013-01-23 19:38:38
551	181	1	490	1	2013-01-25 19:13:34
552	242	1	77	4	2013-01-26 19:46:35
553	226	1	77	1	2013-01-30 18:11:10
554	332	1	10	2	2013-02-04 00:48:24
555	334	2	77	2	2013-02-07 00:20:14
556	297	1	10	1	2013-02-08 18:36:52
557	435	1	10	4	2013-02-12 18:11:36
558	433	1	10	4	2013-02-13 17:18:24
559	229	1	77	1	2013-02-13 19:26:23
560	442	1	10	4	2013-02-14 19:04:43
561	437	1	10	4	2013-02-14 22:26:07
562	241	1	77	2	2013-02-17 16:29:53
563	439	1	10	4	2013-02-25 00:04:40
564	444	1	10	4	2013-02-25 00:11:36
565	447	1	10	4	2013-02-25 00:17:14
566	241	1	77	3	2013-02-26 09:13:33
567	302	1	77	2	2013-02-26 22:22:02
568	190	1	10	1	2013-03-01 03:51:52
569	214	2	77	2	2013-03-17 09:02:36
570	359	1	10	1	2013-03-17 18:12:53
571	457	1	10	4	2013-03-17 23:37:11
572	334	2	77	1	2013-03-19 08:20:31
573	214	2	77	3	2013-03-28 21:49:21
574	460	1	10	4	2013-04-01 16:15:12
575	373	1	10	1	2013-04-04 16:45:53
576	464	1	10	4	2013-04-04 18:00:04
577	392	1	10	1	2013-04-09 22:24:31
578	472	1	10	4	2013-04-11 04:51:36
579	473	1	10	4	2013-04-11 04:55:46
580	214	3	77	2	2013-04-16 23:01:50
581	474	1	10	4	2013-04-18 03:36:42
582	302	1	77	3	2013-04-18 20:29:48
583	477	1	10	4	2013-04-19 16:07:51
584	302	2	77	1	2013-04-20 00:44:27
585	214	3	77	1	2013-04-23 10:23:47
586	315	1	77	3	2013-04-25 10:44:56
587	241	2	77	2	2013-04-30 17:29:14
588	479	1	10	4	2013-05-05 18:46:15
589	480	1	10	4	2013-05-05 18:55:06
590	483	1	10	4	2013-05-06 17:53:01
591	220	1	600	2	2013-05-08 11:20:05
592	304	1	10	1	2013-05-09 14:30:53
593	487	1	10	4	2013-05-24 23:42:35
594	312	1	10	2	2013-05-28 15:43:36
595	329	2	10	4	2013-06-04 03:37:15
596	397	1	10	4	2013-06-04 04:47:53
597	315	2	77	2	2013-06-06 21:35:05
598	485	1	10	4	2013-06-07 17:20:57
599	497	1	10	4	2013-06-07 21:19:03
600	391	1	10	1	2013-06-12 19:03:56
601	386	1	10	1	2013-06-12 19:16:47
602	314	1	10	4	2013-06-14 17:15:25
603	455	1	10	4	2013-06-15 16:47:15
604	315	2	77	1	2013-06-18 22:45:23
605	346	1	10	1	2013-06-20 10:53:49
606	500	1	10	4	2013-06-26 12:08:44
607	490	1	10	4	2013-06-28 07:49:08
608	503	1	10	4	2013-07-12 04:02:23
609	506	1	10	4	2013-07-16 04:09:31
610	512	1	10	4	2013-07-17 04:07:21
611	419	1	10	2	2013-07-20 18:23:45
612	341	1	10	2	2013-07-23 03:40:06
